COUNTY,WEEK_END_DATE,TOTAL_CASES,TOTAL_DEATHS,TOTAL_HOSP,Year
Lincoln,2024-12-21,12713,197,260,2024
Loudon,2024-12-21,22599,245,272,2024
Macon,2024-12-21,11753,169,290,2024
Madison,2024-12-21,47879,504,561,2024
Marion,2024-12-21,12172,152,308,2024
Marshall,2024-12-21,13929,148,255,2024
Maury,2024-12-21,39376,411,709,2024
McMinn,2024-12-21,21014,310,479,2024
McNairy,2024-12-21,10656,153,137,2024
Meigs,2024-12-21,4559,67,125,2024
Monroe,2024-12-21,20489,287,494,2024
Montgomery,2024-12-21,74427,665,753,2024
Moore,2024-12-21,3118,41,44,2024
Morgan,2024-12-21,9022,110,100,2024
Obion,2024-12-21,14969,230,316,2024
Overton,2024-12-21,9295,140,277,2024
Perry,2024-12-21,3240,64,68,2024
Pickett,2024-12-21,2508,43,88,2024
Polk,2024-12-21,6073,91,180,2024
Putnam,2024-12-21,32929,354,775,2024
Rhea,2024-12-21,12916,179,249,2024
Roane,2024-12-21,22582,295,312,2024
Robertson,2024-12-21,30641,374,963,2024
Rutherford,2024-12-21,128737,1043,1851,2024
Scott,2024-12-21,13927,145,143,2024
Sequatchie,2024-12-21,5627,83,130,2024
Sevier,2024-12-21,40316,483,555,2024
Shelby,2024-12-21,329526,3876,9936,2024
Smith,2024-12-21,7915,105,165,2024
Stewart,2024-12-21,4118,75,90,2024
Sullivan,2024-12-21,71645,888,2276,2024
Sumner,2024-12-21,72631,867,1854,2024
Tipton,2024-12-21,25503,275,566,2024
Trousdale,2024-12-21,5091,54,119,2024
Unicoi,2024-12-21,7539,114,257,2024
Union,2024-12-21,7717,88,95,2024
Van Buren,2024-12-21,2502,57,54,2024
Warren,2024-12-21,17013,200,227,2024
Washington,2024-12-21,56193,602,1400,2024
Wayne,2024-12-21,7535,102,132,2024
Weakley,2024-12-21,13213,191,241,2024
White,2024-12-21,10827,162,299,2024
Williamson,2024-12-21,85179,484,1013,2024
Wilson,2024-12-21,58007,573,1093,2024
Unknown,2024-12-21,114751,507,1305,2024
Anderson,2024-12-14,31375,435,395,2024
Bedford,2024-12-14,20247,269,399,2024
Benton,2024-12-14,6721,108,143,2024
Bledsoe,2024-12-14,5994,66,106,2024
Blount,2024-12-14,57569,597,1087,2024
Bradley,2024-12-14,42707,495,1334,2024
Campbell,2024-12-14,18657,202,196,2024
Cannon,2024-12-14,5551,80,112,2024
Carroll,2024-12-14,13704,184,284,2024
Carter,2024-12-14,24561,397,828,2024
Cheatham,2024-12-14,14502,155,282,2024
Chester,2024-12-14,8074,109,109,2024
Claiborne,2024-12-14,12939,226,175,2024
Clay,2024-12-14,2910,64,88,2024
Cocke,2024-12-14,16671,258,186,2024
Coffee,2024-12-14,23732,320,467,2024
Crockett,2024-12-14,7807,100,82,2024
Cumberland,2024-12-14,21738,369,378,2024
Davidson,2024-12-14,259874,1968,4683,2024
Decatur,2024-12-14,5032,88,110,2024
Dekalb,2024-12-14,8706,120,160,2024
Dickson,2024-12-14,23271,285,506,2024
Dyer,2024-12-14,17295,233,237,2024
Fayette,2024-12-14,16144,209,491,2024
Fentress,2024-12-14,7434,150,233,2024
Franklin,2024-12-14,18684,222,221,2024
Gibson,2024-12-14,25734,315,341,2024
Giles,2024-12-14,12682,221,306,2024
Grainger,2024-12-14,9182,132,127,2024
Greene,2024-12-14,32185,451,881,2024
Grundy,2024-12-14,5104,85,121,2024
Hamblen,2024-12-14,27473,411,388,2024
Hamilton,2024-12-14,134813,1338,3259,2024
Hancock,2024-12-14,2995,44,64,2024
Hardeman,2024-12-14,10537,148,225,2024
Hardin,2024-12-14,12657,181,207,2024
Hawkins,2024-12-14,25656,407,659,2024
Haywood,2024-12-14,9213,110,166,2024
Henderson,2024-12-14,12708,199,214,2024
Henry,2024-12-14,11293,189,317,2024
Hickman,2024-12-14,9305,133,188,2024
Houston,2024-12-14,3300,68,109,2024
Humphreys,2024-12-14,6765,89,188,2024
Jackson,2024-12-14,4380,78,147,2024
Jefferson,2024-12-14,21804,327,298,2024
Johnson,2024-12-14,7025,123,227,2024
Knox,2024-12-14,177199,1706,3005,2024
Lake,2024-12-14,3511,49,56,2024
Lauderdale,2024-12-14,10766,122,173,2024
Lawrence,2024-12-14,18165,241,523,2024
Lewis,2024-12-14,4463,74,106,2024
Lincoln,2024-12-14,12706,197,260,2024
Loudon,2024-12-14,22583,245,272,2024
Macon,2024-12-14,11740,169,290,2024
Madison,2024-12-14,47845,504,561,2024
Marion,2024-12-14,12169,152,308,2024
Marshall,2024-12-14,13906,148,255,2024
Maury,2024-12-14,39349,411,709,2024
McMinn,2024-12-14,21007,310,479,2024
McNairy,2024-12-14,10653,153,136,2024
Meigs,2024-12-14,4559,67,125,2024
Monroe,2024-12-14,20476,287,494,2024
Montgomery,2024-12-14,74374,665,753,2024
Moore,2024-12-14,3116,41,44,2024
Morgan,2024-12-14,9018,110,100,2024
Obion,2024-12-14,14963,230,316,2024
Overton,2024-12-14,9285,140,276,2024
Perry,2024-12-14,3235,64,68,2024
Pickett,2024-12-14,2507,43,88,2024
Polk,2024-12-14,6072,91,180,2024
Putnam,2024-12-14,32901,354,774,2024
Rhea,2024-12-14,12914,179,249,2024
Roane,2024-12-14,22562,295,312,2024
Robertson,2024-12-14,30623,374,963,2024
Rutherford,2024-12-14,128691,1043,1851,2024
Scott,2024-12-14,13918,145,143,2024
Sequatchie,2024-12-14,5624,83,130,2024
Sevier,2024-12-14,40294,483,555,2024
Shelby,2024-12-14,329316,3876,9933,2024
Smith,2024-12-14,7910,105,165,2024
Stewart,2024-12-14,4116,75,90,2024
Sullivan,2024-12-14,71525,888,2276,2024
Sumner,2024-12-14,72590,867,1853,2024
Tipton,2024-12-14,25487,275,565,2024
Trousdale,2024-12-14,5090,54,119,2024
Unicoi,2024-12-14,7528,114,257,2024
Union,2024-12-14,7715,88,95,2024
Van Buren,2024-12-14,2499,57,54,2024
Warren,2024-12-14,17005,200,227,2024
Washington,2024-12-14,56147,602,1399,2024
Wayne,2024-12-14,7530,102,132,2024
Weakley,2024-12-14,13209,191,241,2024
White,2024-12-14,10800,162,299,2024
Williamson,2024-12-14,85112,484,1012,2024
Wilson,2024-12-14,57959,573,1093,2024
Unknown,2024-12-14,114686,507,1305,2024
Anderson,2024-12-07,31356,435,395,2024
Bedford,2024-12-07,20234,269,399,2024
Benton,2024-12-07,6712,108,143,2024
Bledsoe,2024-12-07,5989,66,106,2024
Blount,2024-12-07,57536,596,1087,2024
Bradley,2024-12-07,42684,495,1333,2024
Campbell,2024-12-07,18614,202,195,2024
Cannon,2024-12-07,5550,79,112,2024
Carroll,2024-12-07,13691,184,284,2024
Carter,2024-12-07,24535,397,827,2024
Cheatham,2024-12-07,14484,155,282,2024
Chester,2024-12-07,8063,108,109,2024
Claiborne,2024-12-07,12928,226,175,2024
Clay,2024-12-07,2895,64,88,2024
Cocke,2024-12-07,16651,258,186,2024
Coffee,2024-12-07,23720,320,467,2024
Crockett,2024-12-07,7799,100,81,2024
Cumberland,2024-12-07,21727,369,378,2024
Davidson,2024-12-07,259806,1967,4683,2024
