COUNTY,WEEK_END_DATE,TOTAL_CASES,TOTAL_DEATHS,TOTAL_HOSP,Year
Trousdale,2022-03-26,4247,45,101,2022
Unicoi,2022-03-26,5173,94,193,2022
Union,2022-03-26,5452,71,92,2022
Van Buren,2022-03-26,1873,47,49,2022
Warren,2022-03-26,13088,175,213,2022
Washington,2022-03-26,38566,487,1083,2022
Wayne,2022-03-26,5722,63,123,2022
Weakley,2022-03-26,9521,142,189,2022
White,2022-03-26,8250,127,266,2022
Williamson,2022-03-26,62453,395,859,2022
Wilson,2022-03-26,42166,476,933,2022
Unknown,2022-03-26,73864,502,984,2022
Anderson,2022-03-19,22206,320,378,2022
Bedford,2022-03-19,15125,230,320,2022
Benton,2022-03-19,4503,90,122,2022
Bledsoe,2022-03-19,4693,56,91,2022
Blount,2022-03-19,39242,416,903,2022
Bradley,2022-03-19,33282,402,1046,2022
Campbell,2022-03-19,12242,160,186,2022
Cannon,2022-03-19,4215,58,102,2022
Carroll,2022-03-19,8948,152,214,2022
Carter,2022-03-19,16486,326,640,2022
Cheatham,2022-03-19,11011,119,260,2022
Chester,2022-03-19,5864,96,93,2022
Claiborne,2022-03-19,9165,176,168,2022
Clay,2022-03-19,2294,49,76,2022
Cocke,2022-03-19,11544,209,176,2022
Coffee,2022-03-19,16986,260,403,2022
Crockett,2022-03-19,5235,84,56,2022
Cumberland,2022-03-19,16101,319,346,2022
Davidson,2022-03-19,191447,1629,3950,2022
Decatur,2022-03-19,3759,67,83,2022
Dekalb,2022-03-19,6370,100,142,2022
Dickson,2022-03-19,16037,237,425,2022
Dyer,2022-03-19,12825,199,201,2022
Fayette,2022-03-19,11424,180,376,2022
Fentress,2022-03-19,5745,125,213,2022
Franklin,2022-03-19,12911,176,201,2022
Gibson,2022-03-19,17542,252,223,2022
Giles,2022-03-19,9420,186,267,2022
Grainger,2022-03-19,6796,107,119,2022
Greene,2022-03-19,22043,362,675,2022
Grundy,2022-03-19,4003,71,112,2022
Hamblen,2022-03-19,19717,346,373,2022
Hamilton,2022-03-19,99375,1114,2699,2022
Hancock,2022-03-19,2015,34,56,2022
Hardeman,2022-03-19,7611,116,178,2022
Hardin,2022-03-19,8772,141,150,2022
Hawkins,2022-03-19,16658,303,539,2022
Haywood,2022-03-19,6156,99,119,2022
Henderson,2022-03-19,9265,154,165,2022
Henry,2022-03-19,8287,153,256,2022
Hickman,2022-03-19,6859,107,168,2022
Houston,2022-03-19,2678,60,92,2022
Humphreys,2022-03-19,4872,70,167,2022
Jackson,2022-03-19,3230,61,120,2022
Jefferson,2022-03-19,15811,259,277,2022
Johnson,2022-03-19,5129,88,200,2022
Knox,2022-03-19,126735,1329,2750,2022
Lake,2022-03-19,2735,40,41,2022
Lauderdale,2022-03-19,7860,103,151,2022
Lawrence,2022-03-19,14327,191,417,2022
Lewis,2022-03-19,3586,57,98,2022
Lincoln,2022-03-19,10015,166,243,2022
Loudon,2022-03-19,15144,188,257,2022
Macon,2022-03-19,8457,145,263,2022
Madison,2022-03-19,29994,416,487,2022
Marion,2022-03-19,8852,127,269,2022
Marshall,2022-03-19,10438,119,236,2022
Maury,2022-03-19,29189,330,649,2022
McMinn,2022-03-19,16689,251,424,2022
McNairy,2022-03-19,7642,118,118,2022
Meigs,2022-03-19,3445,55,97,2022
Monroe,2022-03-19,14588,235,437,2022
Montgomery,2022-03-19,50186,560,708,2022
Moore,2022-03-19,2249,40,40,2022
Morgan,2022-03-19,6174,80,95,2022
Obion,2022-03-19,10787,187,247,2022
Overton,2022-03-19,7183,121,228,2022
Perry,2022-03-19,2347,55,62,2022
Pickett,2022-03-19,1783,36,76,2022
Polk,2022-03-19,4746,70,151,2022
Putnam,2022-03-19,25269,302,644,2022
Rhea,2022-03-19,9994,154,200,2022
Roane,2022-03-19,15810,230,295,2022
Robertson,2022-03-19,22728,295,850,2022
Rutherford,2022-03-19,95564,875,1703,2022
Scott,2022-03-19,9080,115,120,2022
Sequatchie,2022-03-19,4255,66,106,2022
Sevier,2022-03-19,30357,401,532,2022
Shelby,2022-03-19,235152,3227,8331,2022
Smith,2022-03-19,6212,82,148,2022
Stewart,2022-03-19,3283,56,78,2022
Sullivan,2022-03-19,45812,698,1794,2022
Sumner,2022-03-19,52810,712,1578,2022
Tipton,2022-03-19,17641,230,461,2022
Trousdale,2022-03-19,4241,45,101,2022
Unicoi,2022-03-19,5171,94,193,2022
Union,2022-03-19,5450,71,92,2022
Van Buren,2022-03-19,1872,47,49,2022
Warren,2022-03-19,13083,174,213,2022
Washington,2022-03-19,38538,485,1083,2022
Wayne,2022-03-19,5717,63,123,2022
Weakley,2022-03-19,9513,140,188,2022
White,2022-03-19,8249,127,266,2022
Williamson,2022-03-19,62408,395,859,2022
Wilson,2022-03-19,42130,475,933,2022
Unknown,2022-03-19,73757,504,984,2022
Anderson,2022-03-12,22188,316,377,2022
Bedford,2022-03-12,15110,228,318,2022
Benton,2022-03-12,4499,90,122,2022
Bledsoe,2022-03-12,4692,54,91,2022
Blount,2022-03-12,39204,411,903,2022
Bradley,2022-03-12,33265,399,1044,2022
Campbell,2022-03-12,12160,157,186,2022
Cannon,2022-03-12,4210,57,102,2022
Carroll,2022-03-12,8935,152,214,2022
Carter,2022-03-12,16468,321,639,2022
Cheatham,2022-03-12,11001,118,260,2022
Chester,2022-03-12,5841,96,93,2022
Claiborne,2022-03-12,9151,175,168,2022
Clay,2022-03-12,2293,49,76,2022
Cocke,2022-03-12,11522,207,176,2022
Coffee,2022-03-12,16975,254,403,2022
Crockett,2022-03-12,5233,82,56,2022
Cumberland,2022-03-12,16081,318,346,2022
Davidson,2022-03-12,191196,1620,3946,2022
Decatur,2022-03-12,3757,67,83,2022
Dekalb,2022-03-12,6367,99,142,2022
Dickson,2022-03-12,16030,236,425,2022
Dyer,2022-03-12,12801,198,201,2022
Fayette,2022-03-12,11422,177,376,2022
Fentress,2022-03-12,5742,123,213,2022
Franklin,2022-03-12,12897,173,201,2022
Gibson,2022-03-12,17517,252,223,2022
Giles,2022-03-12,9414,185,267,2022
Grainger,2022-03-12,6786,106,119,2022
Greene,2022-03-12,22006,359,674,2022
Grundy,2022-03-12,4003,70,112,2022
Hamblen,2022-03-12,19707,345,373,2022
Hamilton,2022-03-12,99229,1102,2698,2022
Hancock,2022-03-12,2014,34,56,2022
Hardeman,2022-03-12,7608,116,178,2022
Hardin,2022-03-12,8755,140,149,2022
Hawkins,2022-03-12,16637,299,539,2022
Haywood,2022-03-12,6153,99,119,2022
Henderson,2022-03-12,9256,153,165,2022
Henry,2022-03-12,8280,153,255,2022
Hickman,2022-03-12,6855,107,168,2022
Houston,2022-03-12,2677,60,92,2022
Humphreys,2022-03-12,4870,70,167,2022
Jackson,2022-03-12,3228,61,120,2022
Jefferson,2022-03-12,15794,257,277,2022
Johnson,2022-03-12,5122,88,200,2022
Knox,2022-03-12,126564,1312,2746,2022
Lake,2022-03-12,2734,40,41,2022
Lauderdale,2022-03-12,7854,103,151,2022
Lawrence,2022-03-12,14319,190,416,2022
Lewis,2022-03-12,3586,56,98,2022
Lincoln,2022-03-12,10009,163,243,2022
Loudon,2022-03-12,15118,187,257,2022
Macon,2022-03-12,8453,142,263,2022
Madison,2022-03-12,29940,413,487,2022
Marion,2022-03-12,8840,127,269,2022
Marshall,2022-03-12,10430,117,236,2022
Maury,2022-03-12,29172,327,649,2022
McMinn,2022-03-12,16681,250,423,2022
McNairy,2022-03-12,7638,117,118,2022
Meigs,2022-03-12,3443,55,97,2022
Monroe,2022-03-12,14562,233,437,2022
Montgomery,2022-03-12,50152,555,708,2022
Moore,2022-03-12,2248,40,40,2022
Morgan,2022-03-12,6167,80,95,2022
Obion,2022-03-12,10785,185,247,2022
Overton,2022-03-12,7182,120,228,2022
Perry,2022-03-12,2344,54,62,2022
Pickett,2022-03-12,1782,36,76,2022
Polk,2022-03-12,4738,68,151,2022
Putnam,2022-03-12,25261,301,643,2022
Rhea,2022-03-12,9980,153,199,2022
Roane,2022-03-12,15787,228,295,2022
Robertson,2022-03-12,22712,295,850,2022
Rutherford,2022-03-12,95506,871,1703,2022
Scott,2022-03-12,9068,112,120,2022
Sequatchie,2022-03-12,4253,66,106,2022
Sevier,2022-03-12,30322,398,532,2022
Shelby,2022-03-12,234988,3213,8327,2022
Smith,2022-03-12,6210,79,148,2022
Stewart,2022-03-12,3281,55,78,2022
Sullivan,2022-03-12,45754,688,1791,2022
Sumner,2022-03-12,52779,706,1578,2022
Tipton,2022-03-12,17631,230,461,2022
Trousdale,2022-03-12,4240,45,101,2022
Unicoi,2022-03-12,5160,93,193,2022
Union,2022-03-12,5448,71,92,2022
Van Buren,2022-03-12,1872,47,49,2022
Warren,2022-03-12,13077,173,213,2022
Washington,2022-03-12,38483,481,1081,2022
Wayne,2022-03-12,5712,62,123,2022
Weakley,2022-03-12,9509,140,188,2022
White,2022-03-12,8247,126,266,2022
Williamson,2022-03-12,62358,393,857,2022
Wilson,2022-03-12,42081,471,931,2022
Unknown,2022-03-12,73645,498,982,2022
Anderson,2022-03-05,22104,311,375,2022
Bedford,2022-03-05,15099,221,318,2022
Benton,2022-03-05,4486,90,122,2022
Bledsoe,2022-03-05,4686,53,90,2022
Blount,2022-03-05,39150,397,900,2022
Bradley,2022-03-05,33243,387,1042,2022
Campbell,2022-03-05,12028,153,186,2022
Cannon,2022-03-05,4199,56,102,2022
Carroll,2022-03-05,8922,147,213,2022
Carter,2022-03-05,16431,314,637,2022
Cheatham,2022-03-05,10996,117,260,2022
Chester,2022-03-05,5811,94,92,2022
Claiborne,2022-03-05,9108,167,168,2022
Clay,2022-03-05,2289,47,76,2022
Cocke,2022-03-05,11493,201,176,2022
Coffee,2022-03-05,16955,249,401,2022
Crockett,2022-03-05,5214,82,56,2022
Cumberland,2022-03-05,16060,309,346,2022
Davidson,2022-03-05,190820,1597,3940,2022
Decatur,2022-03-05,3748,64,83,2022
Dekalb,2022-03-05,6363,97,142,2022
Dickson,2022-03-05,16015,232,424,2022
Dyer,2022-03-05,12785,192,201,2022
Fayette,2022-03-05,11414,171,376,2022
Fentress,2022-03-05,5737,116,213,2022
Franklin,2022-03-05,12885,165,200,2022
Gibson,2022-03-05,17463,250,223,2022
Giles,2022-03-05,9402,172,267,2022
Grainger,2022-03-05,6779,103,119,2022
Greene,2022-03-05,21968,352,673,2022
Grundy,2022-03-05,3999,69,112,2022
Hamblen,2022-03-05,19686,344,372,2022
Hamilton,2022-03-05,99005,1078,2693,2022
Hancock,2022-03-05,2010,32,56,2022
Hardeman,2022-03-05,7579,113,178,2022
Hardin,2022-03-05,8733,137,149,2022
Hawkins,2022-03-05,16598,291,535,2022
Haywood,2022-03-05,6137,97,119,2022
Henderson,2022-03-05,9204,147,165,2022
Henry,2022-03-05,8264,147,255,2022
Hickman,2022-03-05,6850,103,168,2022
Houston,2022-03-05,2672,59,92,2022
Humphreys,2022-03-05,4868,69,167,2022
Jackson,2022-03-05,3228,59,120,2022
Jefferson,2022-03-05,15767,255,277,2022
Johnson,2022-03-05,5118,87,200,2022
Knox,2022-03-05,126366,1291,2735,2022
Lake,2022-03-05,2730,40,41,2022
Lauderdale,2022-03-05,7840,99,151,2022
Lawrence,2022-03-05,14310,187,414,2022
Lewis,2022-03-05,3585,50,98,2022
Lincoln,2022-03-05,9990,157,243,2022
Loudon,2022-03-05,15078,186,256,2022
Macon,2022-03-05,8441,138,263,2022
Madison,2022-03-05,29867,409,487,2022
Marion,2022-03-05,8829,124,269,2022
Marshall,2022-03-05,10421,116,236,2022
Maury,2022-03-05,29132,319,649,2022
McMinn,2022-03-05,16667,240,421,2022
McNairy,2022-03-05,7620,113,118,2022
Meigs,2022-03-05,3440,54,97,2022
Monroe,2022-03-05,14540,217,435,2022
Montgomery,2022-03-05,50028,549,707,2022
Moore,2022-03-05,2247,39,40,2022
Morgan,2022-03-05,6161,78,94,2022
Obion,2022-03-05,10777,179,247,2022
Overton,2022-03-05,7176,120,227,2022
Perry,2022-03-05,2344,48,62,2022
Pickett,2022-03-05,1781,31,76,2022
Polk,2022-03-05,4734,65,151,2022
Putnam,2022-03-05,25244,295,643,2022
Rhea,2022-03-05,9975,148,199,2022
Roane,2022-03-05,15763,225,295,2022
Robertson,2022-03-05,22692,290,850,2022
Rutherford,2022-03-05,95431,861,1703,2022
Scott,2022-03-05,9036,111,120,2022
Sequatchie,2022-03-05,4247,66,105,2022
Sevier,2022-03-05,30257,393,532,2022
Shelby,2022-03-05,234742,3169,8323,2022
Smith,2022-03-05,6205,75,148,2022
Stewart,2022-03-05,3280,52,78,2022
Sullivan,2022-03-05,45662,670,1788,2022
Sumner,2022-03-05,52718,687,1578,2022
Tipton,2022-03-05,17615,221,460,2022
Trousdale,2022-03-05,4238,45,100,2022
Unicoi,2022-03-05,5149,90,193,2022
Union,2022-03-05,5436,69,92,2022
Van Buren,2022-03-05,1872,46,49,2022
Warren,2022-03-05,13071,166,213,2022
Washington,2022-03-05,38419,470,1079,2022
Wayne,2022-03-05,5703,60,122,2022
Weakley,2022-03-05,9495,138,188,2022
White,2022-03-05,8242,126,266,2022
Williamson,2022-03-05,62282,386,857,2022
Wilson,2022-03-05,42034,465,931,2022
Unknown,2022-03-05,73529,487,978,2022
Anderson,2022-02-26,22038,308,375,2022
Bedford,2022-02-26,15066,220,317,2022
Benton,2022-02-26,4470,90,122,2022
Bledsoe,2022-02-26,4677,53,90,2022
Blount,2022-02-26,39032,394,898,2022
Bradley,2022-02-26,33154,382,1037,2022
Campbell,2022-02-26,11936,150,185,2022
Cannon,2022-02-26,4181,56,101,2022
Carroll,2022-02-26,8879,144,213,2022
Carter,2022-02-26,16359,309,634,2022
Cheatham,2022-02-26,10980,114,260,2022
Chester,2022-02-26,5766,92,92,2022
Claiborne,2022-02-26,9036,167,168,2022
Clay,2022-02-26,2285,46,76,2022
Cocke,2022-02-26,11271,201,176,2022
Coffee,2022-02-26,16913,238,401,2022
Crockett,2022-02-26,5163,82,55,2022
Cumberland,2022-02-26,16019,308,346,2022
Davidson,2022-02-26,190303,1580,3934,2022
Decatur,2022-02-26,3707,63,83,2022
Dekalb,2022-02-26,6342,96,142,2022
Dickson,2022-02-26,15988,231,424,2022
Dyer,2022-02-26,12709,191,201,2022
Fayette,2022-02-26,11390,168,376,2022
Fentress,2022-02-26,5724,115,211,2022
Franklin,2022-02-26,12852,165,200,2022
Gibson,2022-02-26,17365,248,221,2022
Giles,2022-02-26,9393,172,267,2022
Grainger,2022-02-26,6764,103,118,2022
Greene,2022-02-26,21897,349,668,2022
Grundy,2022-02-26,3985,69,112,2022
Hamblen,2022-02-26,19623,343,372,2022
Hamilton,2022-02-26,98326,1073,2665,2022
Hancock,2022-02-26,1998,31,56,2022
Hardeman,2022-02-26,7489,115,178,2022
Hardin,2022-02-26,8668,135,149,2022
Hawkins,2022-02-26,16530,285,533,2022
Haywood,2022-02-26,6111,97,119,2022
Henderson,2022-02-26,9110,145,165,2022
Henry,2022-02-26,8199,146,254,2022
Hickman,2022-02-26,6831,102,167,2022
Houston,2022-02-26,2668,59,92,2022
Humphreys,2022-02-26,4850,68,167,2022
Jackson,2022-02-26,3219,58,119,2022
Jefferson,2022-02-26,15702,254,277,2022
Johnson,2022-02-26,5085,85,199,2022
Knox,2022-02-26,125984,1270,2720,2022
Lake,2022-02-26,2702,40,41,2022
Lauderdale,2022-02-26,7820,99,150,2022
Lawrence,2022-02-26,14276,185,413,2022
Lewis,2022-02-26,3582,50,98,2022
Lincoln,2022-02-26,9965,153,241,2022
Loudon,2022-02-26,15026,185,255,2022
Macon,2022-02-26,8415,138,263,2022
Madison,2022-02-26,29644,400,487,2022
Marion,2022-02-26,8805,123,269,2022
Marshall,2022-02-26,10397,116,236,2022
Maury,2022-02-26,29091,315,648,2022
McMinn,2022-02-26,16643,236,419,2022
McNairy,2022-02-26,7570,113,117,2022
Meigs,2022-02-26,3436,54,97,2022
Monroe,2022-02-26,14495,217,435,2022
Montgomery,2022-02-26,49916,545,707,2022
Moore,2022-02-26,2239,37,40,2022
Morgan,2022-02-26,6118,77,94,2022
Obion,2022-02-26,10758,179,245,2022
Overton,2022-02-26,7161,118,226,2022
Perry,2022-02-26,2332,48,61,2022
Pickett,2022-02-26,1779,30,76,2022
Polk,2022-02-26,4695,65,151,2022
Putnam,2022-02-26,25189,291,643,2022
Rhea,2022-02-26,9961,148,199,2022
Roane,2022-02-26,15731,221,294,2022
Robertson,2022-02-26,22646,288,848,2022
Rutherford,2022-02-26,95219,857,1697,2022
Scott,2022-02-26,8968,108,120,2022
Sequatchie,2022-02-26,4235,66,105,2022
Sevier,2022-02-26,30173,389,532,2022
Shelby,2022-02-26,234253,3142,8317,2022
Smith,2022-02-26,6196,73,148,2022
Stewart,2022-02-26,3268,52,78,2022
Sullivan,2022-02-26,45455,661,1781,2022
Sumner,2022-02-26,52603,687,1575,2022
Tipton,2022-02-26,17587,219,460,2022
Trousdale,2022-02-26,4232,45,100,2022
Unicoi,2022-02-26,5128,90,193,2022
Union,2022-02-26,5426,68,92,2022
Van Buren,2022-02-26,1865,46,48,2022
Warren,2022-02-26,13037,166,213,2022
Washington,2022-02-26,38298,466,1076,2022
Wayne,2022-02-26,5677,56,121,2022
Weakley,2022-02-26,9461,134,188,2022
White,2022-02-26,8206,126,265,2022
Williamson,2022-02-26,62164,382,856,2022
Wilson,2022-02-26,41965,464,930,2022
Unknown,2022-02-26,73253,482,974,2022
Anderson,2022-02-19,21886,302,372,2022
Bedford,2022-02-19,15022,218,315,2022
Benton,2022-02-19,4416,85,122,2022
Bledsoe,2022-02-19,4658,48,89,2022
Blount,2022-02-19,38859,385,891,2022
Bradley,2022-02-19,33037,375,1033,2022
Campbell,2022-02-19,11710,145,185,2022
Cannon,2022-02-19,4161,55,100,2022
Carroll,2022-02-19,8820,142,213,2022
Carter,2022-02-19,16226,303,630,2022
Cheatham,2022-02-19,10944,112,260,2022
Chester,2022-02-19,5727,90,92,2022
Claiborne,2022-02-19,8856,158,168,2022
Clay,2022-02-19,2277,46,76,2022
Cocke,2022-02-19,11156,201,176,2022
Coffee,2022-02-19,16839,236,400,2022
Crockett,2022-02-19,5070,81,55,2022
Cumberland,2022-02-19,15911,302,346,2022
Davidson,2022-02-19,189473,1564,3924,2022
Decatur,2022-02-19,3656,61,83,2022
Dekalb,2022-02-19,6318,96,142,2022
Dickson,2022-02-19,15920,225,423,2022
Dyer,2022-02-19,12616,185,201,2022
Fayette,2022-02-19,11358,163,374,2022
Fentress,2022-02-19,5697,114,209,2022
Franklin,2022-02-19,12805,164,200,2022
Gibson,2022-02-19,17252,245,220,2022
Giles,2022-02-19,9361,166,267,2022
Grainger,2022-02-19,6716,101,118,2022
Greene,2022-02-19,21784,339,660,2022
Grundy,2022-02-19,3972,68,112,2022
Hamblen,2022-02-19,19538,334,372,2022
Hamilton,2022-02-19,97326,1058,2642,2022
Hancock,2022-02-19,1980,30,56,2022
Hardeman,2022-02-19,7408,113,178,2022
Hardin,2022-02-19,8557,128,149,2022
Hawkins,2022-02-19,16436,280,531,2022
Haywood,2022-02-19,6084,95,119,2022
Henderson,2022-02-19,8958,143,165,2022
Henry,2022-02-19,8088,139,251,2022
Hickman,2022-02-19,6814,102,166,2022
Houston,2022-02-19,2650,59,92,2022
Humphreys,2022-02-19,4820,68,166,2022
Jackson,2022-02-19,3192,57,119,2022
Jefferson,2022-02-19,15601,249,277,2022
Johnson,2022-02-19,5037,77,198,2022
Knox,2022-02-19,125263,1250,2699,2022
Lake,2022-02-19,2668,38,41,2022
Lauderdale,2022-02-19,7780,92,149,2022
Lawrence,2022-02-19,14231,175,412,2022
Lewis,2022-02-19,3567,50,98,2022
Lincoln,2022-02-19,9921,144,241,2022
Loudon,2022-02-19,14950,180,255,2022
Macon,2022-02-19,8377,137,263,2022
Madison,2022-02-19,29352,394,487,2022
Marion,2022-02-19,8766,121,267,2022
Marshall,2022-02-19,10353,115,235,2022
Maury,2022-02-19,29006,312,647,2022
McMinn,2022-02-19,16575,232,416,2022
McNairy,2022-02-19,7473,100,115,2022
Meigs,2022-02-19,3413,51,97,2022
Monroe,2022-02-19,14408,216,428,2022
Montgomery,2022-02-19,49531,530,707,2022
Moore,2022-02-19,2222,37,40,2022
Morgan,2022-02-19,5983,75,94,2022
Obion,2022-02-19,10696,168,243,2022
Overton,2022-02-19,7126,118,225,2022
Perry,2022-02-19,2310,46,60,2022
Pickett,2022-02-19,1771,30,76,2022
Polk,2022-02-19,4647,56,151,2022
Putnam,2022-02-19,25055,291,639,2022
Rhea,2022-02-19,9929,148,198,2022
Roane,2022-02-19,15635,217,294,2022
Robertson,2022-02-19,22571,284,848,2022
Rutherford,2022-02-19,94838,848,1697,2022
Scott,2022-02-19,8880,105,120,2022
Sequatchie,2022-02-19,4215,64,105,2022
Sevier,2022-02-19,29980,383,529,2022
Shelby,2022-02-19,233308,3076,8308,2022
Smith,2022-02-19,6149,72,147,2022
Stewart,2022-02-19,3254,48,78,2022
Sullivan,2022-02-19,45121,642,1778,2022
Sumner,2022-02-19,52399,681,1573,2022
Tipton,2022-02-19,17512,209,458,2022
Trousdale,2022-02-19,4220,44,100,2022
Unicoi,2022-02-19,5085,88,192,2022
Union,2022-02-19,5386,68,92,2022
Van Buren,2022-02-19,1856,45,48,2022
Warren,2022-02-19,12992,162,212,2022
Washington,2022-02-19,38024,461,1074,2022
Wayne,2022-02-19,5641,53,121,2022
Weakley,2022-02-19,9413,131,188,2022
White,2022-02-19,8167,126,265,2022
Williamson,2022-02-19,61962,375,853,2022
Wilson,2022-02-19,41816,459,926,2022
Unknown,2022-02-19,72799,467,970,2022
Anderson,2022-02-12,21570,301,372,2022
Bedford,2022-02-12,14922,213,312,2022
Benton,2022-02-12,4349,85,121,2022
Bledsoe,2022-02-12,4623,44,89,2022
Blount,2022-02-12,38542,372,886,2022
Bradley,2022-02-12,32821,361,1023,2022
Campbell,2022-02-12,11464,141,185,2022
Cannon,2022-02-12,4129,53,100,2022
Carroll,2022-02-12,8724,136,213,2022
Carter,2022-02-12,15863,294,625,2022
Cheatham,2022-02-12,10849,109,260,2022
Chester,2022-02-12,5638,88,90,2022
Claiborne,2022-02-12,8663,156,167,2022
Clay,2022-02-12,2253,44,75,2022
Cocke,2022-02-12,10940,193,176,2022
Coffee,2022-02-12,16662,231,397,2022
Crockett,2022-02-12,4987,80,55,2022
Cumberland,2022-02-12,15730,295,344,2022
Davidson,2022-02-12,188188,1525,3909,2022
Decatur,2022-02-12,3618,60,82,2022
Dekalb,2022-02-12,6271,94,142,2022
Dickson,2022-02-12,15711,222,420,2022
Dyer,2022-02-12,12471,182,200,2022
Fayette,2022-02-12,11286,156,373,2022
Fentress,2022-02-12,5617,110,205,2022
Franklin,2022-02-12,12680,156,198,2022
Gibson,2022-02-12,17084,233,219,2022
Giles,2022-02-12,9268,162,267,2022
Grainger,2022-02-12,6639,100,116,2022
Greene,2022-02-12,21465,333,658,2022
Grundy,2022-02-12,3938,68,111,2022
Hamblen,2022-02-12,19357,322,371,2022
Hamilton,2022-02-12,96056,1023,2610,2022
Hancock,2022-02-12,1948,30,54,2022
Hardeman,2022-02-12,7287,112,176,2022
Hardin,2022-02-12,8444,120,147,2022
Hawkins,2022-02-12,16148,269,523,2022
Haywood,2022-02-12,6042,90,118,2022
Henderson,2022-02-12,8798,139,165,2022
Henry,2022-02-12,7952,135,249,2022
Hickman,2022-02-12,6745,101,165,2022
Houston,2022-02-12,2619,58,92,2022
Humphreys,2022-02-12,4749,66,166,2022
Jackson,2022-02-12,3149,52,117,2022
Jefferson,2022-02-12,15415,245,277,2022
Johnson,2022-02-12,4959,75,196,2022
Knox,2022-02-12,123806,1221,2675,2022
Lake,2022-02-12,2638,37,41,2022
Lauderdale,2022-02-12,7732,91,149,2022
Lawrence,2022-02-12,14107,171,411,2022
Lewis,2022-02-12,3537,50,98,2022
Lincoln,2022-02-12,9833,136,239,2022
Loudon,2022-02-12,14759,174,253,2022
Macon,2022-02-12,8290,133,262,2022
Madison,2022-02-12,28975,386,485,2022
Marion,2022-02-12,8662,118,264,2022
Marshall,2022-02-12,10292,110,235,2022
Maury,2022-02-12,28769,299,645,2022
McMinn,2022-02-12,16450,221,413,2022
McNairy,2022-02-12,7313,98,115,2022
Meigs,2022-02-12,3384,51,97,2022
Monroe,2022-02-12,14267,212,423,2022
Montgomery,2022-02-12,48832,522,707,2022
Moore,2022-02-12,2198,36,38,2022
Morgan,2022-02-12,5892,73,93,2022
Obion,2022-02-12,10594,162,242,2022
Overton,2022-02-12,7066,118,225,2022
Perry,2022-02-12,2279,43,60,2022
Pickett,2022-02-12,1753,30,75,2022
Polk,2022-02-12,4590,53,146,2022
Putnam,2022-02-12,24770,282,632,2022
Rhea,2022-02-12,9857,139,198,2022
Roane,2022-02-12,15466,215,291,2022
Robertson,2022-02-12,22426,276,847,2022
Rutherford,2022-02-12,94098,824,1693,2022
Scott,2022-02-12,8665,102,118,2022
Sequatchie,2022-02-12,4171,64,104,2022
Sevier,2022-02-12,29652,375,527,2022
Shelby,2022-02-12,231701,3004,8288,2022
Smith,2022-02-12,6057,72,145,2022
Stewart,2022-02-12,3219,47,78,2022
Sullivan,2022-02-12,44127,619,1772,2022
Sumner,2022-02-12,51947,656,1567,2022
Tipton,2022-02-12,17408,200,455,2022
Trousdale,2022-02-12,4194,44,100,2022
Unicoi,2022-02-12,4958,86,189,2022
Union,2022-02-12,5304,68,92,2022
Van Buren,2022-02-12,1837,45,48,2022
Warren,2022-02-12,12864,159,212,2022
Washington,2022-02-12,36705,445,1070,2022
Wayne,2022-02-12,5601,53,120,2022
Weakley,2022-02-12,9336,122,185,2022
White,2022-02-12,8100,123,264,2022
Williamson,2022-02-12,61512,369,850,2022
Wilson,2022-02-12,41489,452,925,2022
Unknown,2022-02-12,71548,453,961,2022
Anderson,2022-02-05,21063,295,370,2022
Bedford,2022-02-05,14689,212,312,2022
Benton,2022-02-05,4271,84,121,2022
Bledsoe,2022-02-05,4537,43,87,2022
Blount,2022-02-05,37763,364,871,2022
Bradley,2022-02-05,32383,361,1006,2022
Campbell,2022-02-05,11191,139,184,2022
Cannon,2022-02-05,4054,52,99,2022
Carroll,2022-02-05,8585,133,213,2022
Carter,2022-02-05,15332,293,616,2022
Cheatham,2022-02-05,10669,106,260,2022
Chester,2022-02-05,5542,88,89,2022
Claiborne,2022-02-05,8420,149,165,2022
Clay,2022-02-05,2215,44,75,2022
Cocke,2022-02-05,10637,191,176,2022
Coffee,2022-02-05,16342,230,389,2022
Crockett,2022-02-05,4907,76,55,2022
Cumberland,2022-02-05,15427,293,342,2022
Davidson,2022-02-05,185718,1507,3895,2022
Decatur,2022-02-05,3561,55,82,2022
Dekalb,2022-02-05,6176,93,142,2022
Dickson,2022-02-05,15429,222,412,2022
Dyer,2022-02-05,12212,179,197,2022
Fayette,2022-02-05,11150,151,371,2022
Fentress,2022-02-05,5458,108,202,2022
Franklin,2022-02-05,12406,154,195,2022
Gibson,2022-02-05,16817,229,218,2022
Giles,2022-02-05,9133,159,265,2022
Grainger,2022-02-05,6478,98,116,2022
Greene,2022-02-05,20933,324,653,2022
Grundy,2022-02-05,3863,67,109,2022
Hamblen,2022-02-05,19053,319,366,2022
Hamilton,2022-02-05,94530,1008,2571,2022
Hancock,2022-02-05,1887,29,54,2022
Hardeman,2022-02-05,7175,109,176,2022
Hardin,2022-02-05,8251,119,145,2022
Hawkins,2022-02-05,15620,265,512,2022
Haywood,2022-02-05,5974,88,117,2022
Henderson,2022-02-05,8658,129,164,2022
Henry,2022-02-05,7781,134,248,2022
Hickman,2022-02-05,6619,99,164,2022
Houston,2022-02-05,2534,56,91,2022
Humphreys,2022-02-05,4630,63,166,2022
